CPUBID,MPUBID,CRACE,CSEX,AFDC_1994,AFDC_1996,AFDC_1998,FOODSTAMPS_1994,FOODSTAMPS_1996,FOODSTAMPS_1998,FOODSTAMPS_2000,FOODSTAMPS_2002,FOODSTAMPS_2004,FOODSTAMPS_2006,FOODSTAMPS_2008,FOODSTAMPS_2010,FOODSTAMPS_2012,FOODSTAMPS_2014,FOODSTAMPS_2016,GED_EVER,HSDIPLOMA_EVER,PROFDEGREE_EVER,snap_ever,tanf_ever,program_group,edu_level,edu_label
11502,115,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
11503,115,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
11504,115,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
11801,118,3,1.0,,,,,,,,,,,,,,,,,,,,,,,
11802,118,3,2.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,1.0,HS or GED
12101,121,3,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
12401,124,3,2.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
12402,124,3,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
12801,128,3,1.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,0.0,Neither,1.0,HS or GED
12802,128,3,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
13301,133,3,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
13701,137,3,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
13702,137,3,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
13801,138,3,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
13802,138,3,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,2.0,Professional degree
13803,138,3,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
14001,140,3,1.0,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,HS or GED
14301,143,3,1.0,,,,,,,,,,,,,,,,,,,,,,,
14302,143,3,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,,,1.0,HS or GED
14303,143,3,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
14304,143,3,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
14401,144,3,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
14402,144,3,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
14403,144,3,2.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
14701,147,3,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
14702,147,3,1.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
14901,149,3,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
14902,149,3,1.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
15301,153,3,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
15302,153,3,2.0,,,,,,,,,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
15701,157,3,2.0,,,,,,,,,,,0.0,,,0.0,,0.0,1.0,0.0,,,,1.0,HS or GED
15702,157,3,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
15801,158,3,2.0,,,,,,,,,,,,,,,,,,,,,,,
15802,158,3,1.0,,,,,,,,,,,,,,,,,,,,,,,
15901,159,3,1.0,,,,,,,,,,,,0.0,,,,0.0,1.0,0.0,,,,1.0,HS or GED
15902,159,3,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
15903,159,3,1.0,,,,,,,,,,,,,,,,,,,,,,,
15904,159,3,2.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
15905,159,3,2.0,,,,,,,,,,,,,,0.0,,0.0,1.0,0.0,,,,1.0,HS or GED
16001,160,3,1.0,,,,,,,,,,,,0.0,0.0,,,0.0,1.0,0.0,,,,1.0,HS or GED
16101,161,3,1.0,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,0.0,,,,1.0,HS or GED
16102,161,3,2.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
16501,165,3,2.0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,1.0,HS or GED
16502,165,3,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
16503,165,3,1.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,1.0,HS or GED
16701,167,3,1.0,,,,,,,,,0.0,,,,,,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
16702,167,3,2.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,No HS / GED
17201,172,3,2.0,,,,,,,,,,,,,0.0,0.0,1.0,0.0,1.0,0.0,,,,1.0,HS or GED
17401,174,1,1.0,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
17402,174,1,1.0,,,,,,,,,,,0.0,0.0,0.0,,,0.0,1.0,0.0,,,,1.0,HS or GED
17501,175,3,1.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
17502,175,3,2.0,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
17503,175,3,1.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
17504,175,3,1.0,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
17901,179,3,2.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,0.0,Neither,1.0,HS or GED
17902,179,3,2.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,Neither,1.0,HS or GED
18001,180,3,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Neither,1.0,HS or GED
18002,180,3,1.0,,,0.0,,,0.0,0.0,0.0,,0.0,,,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,Neither,1.0,HS or GED
18003,180,3,1.0,,,,,,,,,,,,,0.0,0.0,,0.0,1.0,0.0,,,,1.0,HS or GED
18301,183,3,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
18302,183,3,1.0,,,,,,,,,,0.0,,,,,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
18303,183,3,2.0,,,,,,,,,,,,0.0,0.0,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
18401,184,3,2.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,1.0,HS or GED
18601,186,3,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
18801,188,3,2.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
19001,190,3,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
19201,192,3,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
19202,192,3,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
19203,192,3,2.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,1.0,HS or GED
19701,197,3,1.0,,,,,,,,,,,0.0,0.0,,,,0.0,1.0,0.0,,,,1.0,HS or GED
19702,197,3,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
20001,200,3,2.0,,,0.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,Neither,1.0,HS or GED
20002,200,3,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
20301,203,1,2.0,,,,,,,,,,,,,,,,,,,,,,,
20302,203,1,2.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,No HS / GED
20401,204,1,1.0,,,,,,,,,,,,,,,,,,,,,,,
20402,204,1,2.0,,,,,,,,,,,,1.0,1.0,0.0,,0.0,1.0,0.0,,,,1.0,HS or GED
20501,205,1,2.0,,,,,,,,,,,0.0,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
20502,205,1,1.0,,,,,,,,,,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
20503,205,1,1.0,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
20801,208,3,2.0,0.0,,,0.0,,,0.0,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,Neither,0.0,No HS / GED
21101,211,3,2.0,,,,,,,,,,,,,,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
21102,211,3,1.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
21103,211,3,2.0,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,1.0,HS or GED
21104,211,3,1.0,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,No HS / GED
22101,221,2,1.0,,,,,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
22102,221,2,1.0,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,,1.0,HS or GED
22103,221,2,2.0,,,,,,,,,,,0.0,0.0,1.0,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
22104,221,2,2.0,,,,,,,,,,,,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,0.0,No HS / GED
22401,224,2,1.0,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,1.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
22402,224,2,2.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,0.0,Neither,1.0,HS or GED
22403,224,2,1.0,,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,,1.0,,1.0,0.0,0.0,0.0,1.0,0.0,SNAP only,0.0,No HS / GED
22701,227,2,2.0,1.0,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0,,1.0,,1.0,0.0,0.0,0.0,1.0,1.0,Both SNAP and TANF,0.0,No HS / GED
22702,227,2,2.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,1.0,1.0,0.0,,1.0,,0.0,1.0,0.0,1.0,0.0,SNAP only,1.0,HS or GED
22703,227,2,1.0,,,,,,,,,0.0,0.0,0.0,0.0,,0.0,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
22704,227,2,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
22801,228,1,2.0,,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,1.0,,0.0,0.0,0.0,1.0,0.0,SNAP only,0.0,No HS / GED
22802,228,1,1.0,,,,,,,,,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,,,1.0,HS or GED
22803,228,1,1.0,,,,,,,,,,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,0.0,,,1.0,HS or GED
22804,228,1,2.0,,,,,,,,,,,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
22901,229,3,1.0,,,,,,,,,,,,0.0,0.0,1.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
23101,231,3,2.0,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
23102,231,3,2.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
23601,236,3,1.0,,,,,,,,,,0.0,,0.0,0.0,,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
23602,236,3,1.0,,,,,,,,,,,,,0.0,0.0,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
23603,236,3,1.0,,,,,,,,,,,,,,,0.0,0.0,1.0,0.0,,,,1.0,HS or GED
23701,237,3,2.0,,,0.0,,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,,1.0,,1.0,0.0,0.0,1.0,0.0,SNAP only,1.0,HS or GED
23901,239,3,2.0,,,0.0,,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,,1.0,,0.0,0.0,0.0,1.0,0.0,SNAP only,0.0,No HS / GED
23902,239,3,1.0,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,0.0,Neither,0.0,No HS / GED
23903,239,3,1.0,,,,,,,,,0.0,0.0,,0.0,,,,1.0,0.0,0.0,0.0,,,1.0,HS or GED
24001,240,3,1.0,,,,,,,,,0.0,0.0,0.0,0.0,,,,0.0,1.0,0.0,0.0,,,1.0,HS or GED
24002,240,3,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
24201,242,3,2.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,,,1.0,HS or GED
