code,name
C0113100,NHADLT1986_1986
C0113200,AGHYST1986_1986
C0113300,NHADWK1986_1986
C0113400,NFADWK1986_1986
C0113500,NAHGC01986_1986
C0113600,NAHGC11986_1986
C0113700,NAHGC21986_1986
C0113800,NAHGC31986_1986
C0113900,NHFCHD1986_1986
C0114000,NHFADT1986_1986
C0114100,NHMADT1986_1986
C0114200,NADFMM1986_1986
C0114300,NRSKID1986_1986
C0114400,NBISIB1986_1986
C0114600,NHHMEM1987_1987
C0114700,NHADLT1987_1987
C0114800,NHFADT1987_1987
C0114900,NHMADT1987_1987
C0115000,NHADWK1987_1987
C0115100,NFADWK1987_1987
C0115200,NAHGC01987_1987
C0115300,NAHGC11987_1987
C0115400,NAHGC21987_1987
C0115500,NAHGC31987_1987
C0115600,NHCHLD1987_1987
C0115700,NH0_21987_1987
C0115800,NH3_51987_1987
C0115900,NH6_111987_1987
C0116000,NH12_171987_1987
C0116100,AGHYST1987_1987
C0116200,NHFCHD1987_1987
C0116300,NFAMEM1987_1987
C0116400,NFAMUN1987_1987
C0116500,NADFMM1987_1987
C0116600,AGFAMY1987_1987
C0116700,NRSKID1987_1987
C0116800,AGRYST1987_1987
C0116900,SPOUSE1987_1987
C0116910,AGESPS1987_1987
C0117000,HGCSPS1987_1987
C0117100,PARTNR1987_1987
C0117110,AGEPTR1987_1987
C0117200,HGCPTR1987_1987
C0117300,MOMHH1987_1987
C0117400,DADHH1987_1987
C0117500,NBISIB1987_1987
C0117700,NHHMEM1988_1988
C0117800,NHADLT1988_1988
C0117900,NHFADT1988_1988
C0118000,NHMADT1988_1988
C0118100,NHADWK1988_1988
C0118200,NFADWK1988_1988
C0118300,NAHGC01988_1988
C0118400,NAHGC11988_1988
C0118500,NAHGC21988_1988
C0118600,NAHGC31988_1988
C0118700,NHCHLD1988_1988
C0118800,NH0_21988_1988
C0118900,NH3_51988_1988
C0119000,NH6_111988_1988
C0119100,NH12_171988_1988
C0119200,AGHYST1988_1988
C0119300,NHFCHD1988_1988
C0119400,NFAMEM1988_1988
C0119500,NFAMUN1988_1988
C0119600,NADFMM1988_1988
C0119700,AGFAMY1988_1988
C0119800,NRSKID1988_1988
C0119900,AGRYST1988_1988
C0120000,SPOUSE1988_1988
C0120010,AGESPS1988_1988
C0120100,HGCSPS1988_1988
C0120200,PARTNR1988_1988
C0120210,AGEPTR1988_1988
C0120300,HGCPTR1988_1988
C0120400,MOMHH1988_1988
C0120500,DADHH1988_1988
C0120600,NBISIB1988_1988
C0121000,NHHMEM1989_1989
C0121100,NHADLT1989_1989
C0121200,NHFADT1989_1989
C0121300,NHADWK1989_1989
C0121400,NFADWK1989_1989
C0121500,NAHGC01989_1989
C0121600,NAHGC11989_1989
C0121700,NAHGC21989_1989
C0121800,NAHGC31989_1989
C0121900,NHCHLD1989_1989
C0122000,NH0_21989_1989
C0122100,NH3_51989_1989
C0122200,NH6_111989_1989
C0122300,NH12_171989_1989
C0122400,AGHYST1989_1989
C0122500,NHFCHD1989_1989
C0122600,NFAMEM1989_1989
C0122700,NFAMUN1989_1989
C0122800,NADFMM1989_1989
C0122900,AGFAMY1989_1989
C0123000,NRSKID1989_1989
C0123100,AGRYST1989_1989
C0123200,SPOUSE1989_1989
C0123300,AGESPS1989_1989
C0123400,HGCSPS1989_1989
C0123500,PARTNR1989_1989
C0123600,AGEPTR1989_1989
C0123700,HGCPTR1989_1989
C0123800,MOMHH1989_1989
C0123900,DADHH1989_1989
C0124000,NBISIB1989_1989
C0124200,NHHMEM1990_1990
C0124300,NHADLT1990_1990
C0124400,NHFADT1990_1990
C0124500,NHADWK1990_1990
C0124600,NFADWK1990_1990
C0124700,NAHGC01990_1990
C0124800,NAHGC11990_1990
C0124900,NAHGC21990_1990
C0125000,NAHGC31990_1990
C0125100,NHCHLD1990_1990
C0125200,NH0_21990_1990
C0125300,NH3_51990_1990
C0125400,NH6_111990_1990
C0125500,NH12_171990_1990
C0125600,AGHYST1990_1990
C0125700,NHFCHD1990_1990
C0125800,NFAMEM1990_1990
C0125900,NFAMUN1990_1990
C0126000,NADFMM1990_1990
C0126100,AGFAMY1990_1990
C0126200,NRSKID1990_1990
C0126300,AGRYST1990_1990
C0126400,SPOUSE1990_1990
C0126500,AGESPS1990_1990
C0126600,HGCSPS1990_1990
C0126700,PARTNR1990_1990
C0126800,AGEPTR1990_1990
C0126900,HGCPTR1990_1990
C0127000,MOMHH1990_1990
C0127100,DADHH1990_1990
C0127200,NBISIB1990_1990
C0127401,NHHMEM1991_1991
C0127402,NHADLT1991_1991
C0127403,NHFADT1991_1991
C0127404,NHADWK1991_1991
C0127405,NFADWK1991_1991
C0127406,NAHGC01991_1991
C0127407,NAHGC11991_1991
C0127408,NAHGC21991_1991
C0127409,NAHGC31991_1991
C0127410,NHCHLD1991_1991
C0127411,NH0_21991_1991
C0127412,NH3_51991_1991
C0127413,NH6_111991_1991
C0127414,NH12_171991_1991
C0127415,AGHYST1991_1991
C0127416,NHFCHD1991_1991
C0127417,NFAMEM1991_1991
C0127418,NFAMUN1991_1991
C0127419,NADFMM1991_1991
C0127420,AGFAMY1991_1991
C0127421,NRSKID1991_1991
C0127422,AGRYST1991_1991
C0127423,SPOUSE1991_1991
C0127424,AGESPS1991_1991
C0127425,HGCSPS1991_1991
C0127426,PARTNR1991_1991
C0127427,AGEPTR1991_1991
C0127428,HGCPTR1991_1991
C0127429,MOMHH1991_1991
C0127430,DADHH1991_1991
C0127431,NBISIB1991_1991
C0127601,NHHMEM1992_1992
C0127602,NHADLT1992_1992
C0127603,NHFADT1992_1992
C0127604,NHADWK1992_1992
C0127605,NFADWK1992_1992
C0127606,NAHGC01992_1992
C0127607,NAHGC11992_1992
C0127608,NAHGC21992_1992
C0127609,NAHGC31992_1992
C0127610,NHCHLD1992_1992
C0127611,NH0_21992_1992
C0127612,NH3_51992_1992
C0127613,NH6_111992_1992
C0127614,NH12_171992_1992
C0127615,AGHYST1992_1992
C0127616,NHFCHD1992_1992
C0127617,NFAMEM1992_1992
C0127618,NFAMUN1992_1992
C0127619,NADFMM1992_1992
C0127620,AGFAMY1992_1992
C0127621,NRSKID1992_1992
C0127622,AGRYST1992_1992
C0127623,SPOUSE1992_1992
C0127624,AGESPS1992_1992
